DEPTH,GR7-3,GR7-8,GRA-53
1622.92,74.00,95.56,14.70
1623.42,71.69,97.10,14.70
1623.92,71.88,97.93,14.79
1624.42,71.31,96.96,14.79
1624.92,68.94,96.42,15.75
1625.42,68.81,95.94,15.75
1625.91,64.88,96.03,15.16
1626.41,66.06,96.18,15.16
1626.91,66.13,96.87,14.43
1627.41,71.69,97.72,14.43
1627.91,74.00,98.58,14.94
1628.41,70.63,99.25,14.94
1628.91,68.00,99.10,15.73
1629.41,64.69,98.95,15.73
1629.91,66.44,98.80,16.09
1630.41,67.94,98.65,16.09
1630.91,70.50,98.51,16.21
1631.41,73.06,98.53,16.21
1631.91,72.75,98.57,16.41
1632.41,74.56,98.62,16.41
1632.91,72.38,98.66,15.84
1633.41,73.19,98.69,15.84
1633.91,70.81,101.25,15.20
1634.41,71.25,105.55,15.20
1634.91,69.69,108.39,15.49
1635.41,68.31,110.85,15.49
1635.91,69.38,113.40,15.76
1636.41,66.75,116.72,15.76
1636.91,68.56,115.27,16.14
1637.41,65.56,112.31,16.14
1637.91,64.19,109.38,16.99
1638.41,62.50,106.98,16.99
1638.91,63.75,104.78,17.71
1639.41,71.19,102.61,17.71
1639.91,67.81,101.14,18.22
1640.41,70.31,99.74,18.22
1640.91,68.81,98.91,16.74
1641.41,74.94,98.40,16.74
1641.91,71.31,98.03,15.68
1642.41,68.75,97.47,15.68
1642.91,66.06,96.69,16.60
1643.41,67.69,96.53,16.60
1643.91,69.13,96.51,16.34
1644.41,68.50,96.49,16.34
1644.91,68.19,96.80,15.47
1645.41,64.75,97.70,15.47
1645.91,66.94,99.30,16.38
1646.41,68.88,100.85,16.38
1646.91,72.94,102.22,15.25
1647.41,69.31,103.34,15.25
1647.91,69.44,104.02,14.53
1648.41,68.13,104.31,14.53
1648.91,73.63,100.04,15.27
1649.41,71.81,96.25,15.27
1649.91,72.56,96.10,14.99
1650.41,68.69,94.85,14.99
1650.91,70.13,93.96,15.63
1651.41,68.63,94.51,15.63
1651.91,73.75,94.46,15.18
1652.41,70.94,93.74,15.18
1652.91,72.75,93.02,14.88
1653.41,69.31,92.29,14.88
1653.91,73.94,91.71,14.77
1654.41,70.25,91.42,14.77
1654.91,70.31,91.13,14.92
1655.41,66.00,90.84,14.92
1655.91,69.25,90.65,15.23
1656.41,69.56,90.49,15.23
1656.91,67.94,90.34,14.90
1657.41,68.69,90.19,14.90
1657.91,71.00,90.04,15.18
1658.41,73.06,89.91,15.18
1658.91,72.69,89.79,15.61
1659.41,68.88,89.68,15.61
1659.91,69.50,89.60,14.93
1660.41,71.00,90.23,14.93
1660.91,68.19,90.57,15.04
1661.41,67.88,89.71,15.04
1661.91,69.06,89.09,14.84
1662.41,68.44,92.95,14.84
